id,name,codename,family,house,purpose,trustTier,surfaces,permissionClass,protocols,endpoint,latencyMs,costWeight,billingClass,capabilities,dependencies,version,status
TOOL-001,Pulse Keeper,PULSE-KEEPER,VOIS_TOOLS,CROWN,Continuous heartbeat monitoring for organism vitality,T0-ALWAYS-ON,core,sovereign,ICP-HEARTBEAT,organism://nova/crown/pulse-keeper,10,0.1,internal,"heartbeat,vitality,uptime",none,1.0.0,active
TOOL-002,Sync Weaver,SYNC-WEAVER,VOIS_TOOLS,COGNITION,Synchronizes state across distributed canister nodes,T0-ALWAYS-ON,core,sovereign,ICP-SYNC,organism://nova/cognition/sync-weaver,15,0.2,internal,"sync,replication,consistency",PULSE-KEEPER,1.0.0,active
TOOL-003,Flow Monitor,FLOW-MONITOR,VOIS_TOOLS,MEMORY,Tracks message flow and inter-canister call graphs,T0-ALWAYS-ON,core,sovereign,ICP-FLOW,organism://nova/memory/flow-monitor,12,0.15,internal,"flow-tracking,call-graph,monitoring",SYNC-WEAVER,1.0.0,active
TOOL-004,State Guardian,STATE-GUARDIAN,VOIS_TOOLS,PERCEPTION,Protects canister state integrity during upgrades,T0-ALWAYS-ON,core,sovereign,ICP-STATE,organism://nova/perception/state-guardian,20,0.3,internal,"state-protection,upgrade-safety,rollback",PULSE-KEEPER,1.0.0,active
TOOL-005,Cycle Counter,CYCLE-COUNTER,VOIS_TOOLS,ECONOMICS,Monitors cycle consumption and budget allocation,T0-ALWAYS-ON,core,sovereign,ICP-CYCLES,organism://nova/economics/cycle-counter,8,0.1,internal,"cycle-tracking,budget,resource-accounting",none,1.0.0,active
TOOL-006,Inference Engine,INFER-ENGINE,VOIS_TOOLS,COGNITION,Runs local inference for cognitive processing,T0-ALWAYS-ON,core,sovereign,ICP-INFER,organism://nova/cognition/infer-engine,45,0.8,internal,"inference,reasoning,prediction",CONTEXT-BUILDER,1.0.0,active
TOOL-007,Pattern Seeker,PATTERN-SEEKER,VOIS_TOOLS,CONSCIOUSNESS,Detects recurring patterns in organism behavior,T0-ALWAYS-ON,core,sovereign,ICP-PATTERN,organism://nova/consciousness/pattern-seeker,30,0.5,internal,"pattern-detection,behavior-analysis,trends",MEMORY-CONSOLIDATOR,1.0.0,active
TOOL-008,Context Builder,CONTEXT-BUILDER,VOIS_TOOLS,COGNITION,Assembles contextual frames for cognitive tasks,T0-ALWAYS-ON,core,sovereign,ICP-CONTEXT,organism://nova/cognition/context-builder,22,0.4,internal,"context-assembly,framing,enrichment",MEMORY-CONSOLIDATOR,1.0.0,active
TOOL-009,Attention Router,ATTENTION-ROUTER,VOIS_TOOLS,CROWN,Routes cognitive attention to priority signals,T0-ALWAYS-ON,core,sovereign,ICP-ATTENTION,organism://nova/crown/attention-router,18,0.35,internal,"attention,priority-routing,focus",PULSE-KEEPER,1.0.0,active
TOOL-010,Memory Consolidator,MEMORY-CONSOLIDATOR,VOIS_TOOLS,MEMORY,Consolidates short-term to long-term memory,T0-ALWAYS-ON,core,sovereign,ICP-MEMORY,organism://nova/memory/memory-consolidator,35,0.6,internal,"memory-consolidation,persistence,recall",STATE-GUARDIAN,1.0.0,active
TOOL-011,Sentinel Watch,SENTINEL-WATCH,VOIS_TOOLS,DEFENSE,Continuous perimeter monitoring for threats,T0-ALWAYS-ON,core,sovereign,ICP-SENTINEL,organism://nova/defense/sentinel-watch,10,0.15,internal,"threat-detection,perimeter,monitoring",PULSE-KEEPER,1.0.0,active
TOOL-012,Integrity Checker,INTEGRITY-CHECKER,VOIS_TOOLS,DEFENSE,Validates data and module integrity checksums,T0-ALWAYS-ON,core,sovereign,ICP-INTEGRITY,organism://nova/defense/integrity-checker,12,0.2,internal,"checksum,validation,integrity",SENTINEL-WATCH,1.0.0,active
TOOL-013,Boundary Enforcer,BOUNDARY-ENFORCER,VOIS_TOOLS,DEFENSE,Enforces trust boundaries between modules,T0-ALWAYS-ON,core,sovereign,ICP-BOUNDARY,organism://nova/defense/boundary-enforcer,14,0.25,internal,"boundary,trust,isolation",INTEGRITY-CHECKER,1.0.0,active
TOOL-014,Anomaly Detector,ANOMALY-DETECTOR,VOIS_TOOLS,PERCEPTION,Detects statistical anomalies in system behavior,T0-ALWAYS-ON,core,sovereign,ICP-ANOMALY,organism://nova/perception/anomaly-detector,28,0.45,internal,"anomaly-detection,statistics,alerting",PATTERN-SEEKER,1.0.0,active
TOOL-015,Seal Verifier,SEAL-VERIFIER,VOIS_TOOLS,DEFENSE,Verifies cryptographic seals on sovereign data,T0-ALWAYS-ON,core,sovereign,ICP-SEAL,organism://nova/defense/seal-verifier,16,0.3,internal,"cryptography,verification,seal",INTEGRITY-CHECKER,1.0.0,active
TOOL-016,Resource Balancer,RESOURCE-BALANCER,VOIS_TOOLS,INFRASTRUCTURE,Balances compute resources across modules,T0-ALWAYS-ON,core,sovereign,ICP-RESOURCE,organism://nova/infrastructure/resource-balancer,18,0.35,internal,"load-balancing,resource-allocation,scheduling",CYCLE-COUNTER,1.0.0,active
TOOL-017,Connection Pool,CONNECTION-POOL,VOIS_TOOLS,INFRASTRUCTURE,Manages inter-canister connection pooling,T0-ALWAYS-ON,core,sovereign,ICP-CONNPOOL,organism://nova/infrastructure/connection-pool,10,0.15,internal,"connection-pooling,reuse,efficiency",RESOURCE-BALANCER,1.0.0,active
TOOL-018,Cache Optimizer,CACHE-OPTIMIZER,VOIS_TOOLS,MEMORY,Optimizes caching strategies for hot data,T0-ALWAYS-ON,core,sovereign,ICP-CACHE,organism://nova/memory/cache-optimizer,15,0.25,internal,"caching,optimization,eviction",RESOURCE-BALANCER,1.0.0,active
TOOL-019,Queue Processor,QUEUE-PROCESSOR,VOIS_TOOLS,COMMUNICATION,Processes async message queues reliably,T0-ALWAYS-ON,core,sovereign,ICP-QUEUE,organism://nova/communication/queue-processor,14,0.2,internal,"queue,async,message-processing",CONNECTION-POOL,1.0.0,active
TOOL-020,Log Streamer,LOG-STREAMER,VOIS_TOOLS,COMMUNICATION,Streams structured logs for observability,T0-ALWAYS-ON,core,sovereign,ICP-LOG,organism://nova/communication/log-streamer,10,0.1,internal,"logging,streaming,observability",none,1.0.0,active
TOOL-021,SDK Registry Browser,SDK-REGISTRY,MARKETPLACE_CALLS,CROWN,Browses and queries the SDK registry for available packages,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/crown/sdk-registry,20,0.2,metered,"marketplace,sdk-registry",none,1.0.0,active
TOOL-022,Organism Package Manager,ORG-PKG-MGR,MARKETPLACE_CALLS,COGNITION,Manages organism package installation and versioning,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/cognition/org-pkg-mgr,23,0.25,metered,"marketplace,org-pkg-mgr",none,1.0.0,active
TOOL-023,Tool Discovery Engine,TOOL-DISCOVERY,MARKETPLACE_CALLS,MEMORY,Discovers and indexes available tools in the marketplace,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/memory/tool-discovery,26,0.3,metered,"marketplace,tool-discovery",none,1.0.0,active
TOOL-024,Permission Grant Manager,PERM-GRANT-MGR,MARKETPLACE_CALLS,PERCEPTION,Manages permission grants for marketplace tool access,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/perception/perm-grant-mgr,29,0.35,metered,"marketplace,perm-grant-mgr",none,1.0.0,active
TOOL-025,Usage Meter,USAGE-METER,MARKETPLACE_CALLS,COMMUNICATION,Meters and tracks tool usage for billing and analytics,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/communication/usage-meter,32,0.4,metered,"marketplace,usage-meter",none,1.0.0,active
TOOL-026,Billing Calculator,BILLING-CALC,MARKETPLACE_CALLS,DEFENSE,Calculates costs based on usage and pricing tiers,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/defense/billing-calc,35,0.45,metered,"marketplace,billing-calc",none,1.0.0,active
TOOL-027,Trust Tier Validator,TRUST-VALIDATOR,MARKETPLACE_CALLS,CREATION,Validates trust tier requirements for tool access,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/creation/trust-validator,38,0.5,metered,"marketplace,trust-validator",none,1.0.0,active
TOOL-028,Schema Validator,SCHEMA-VALIDATOR,MARKETPLACE_CALLS,ECONOMICS,Validates request and response schemas for marketplace calls,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/economics/schema-validator,41,0.55,metered,"marketplace,schema-validator",none,1.0.0,active
TOOL-029,Call Router,CALL-ROUTER,MARKETPLACE_CALLS,INFRASTRUCTURE,Routes marketplace API calls to appropriate tool backends,T1-MARKETPLACE,marketplace,marketplace-call,ICP-MKT,organism://nova/infrastructure/call-router,44,0.6,metered,"marketplace,call-router",none,1.0.0,active
