id,name,acronym,category,house,trustTier,version,description,inputSchema,outputSchema,latencyMs,costWeight,billingClass,protocols,dependencies,status
PROTO-001,Sovereign Consensus Protocol,SCP,Consensus,CROWN,INTERNAL_SOVEREIGN,1.0.0,Achieves Byzantine fault-tolerant consensus across sovereign canister replicas using weighted voting,ConsensusRequest,ConsensusResult,45,0.8,CYCLE_WEIGHTED,vois;puls,,ACTIVE
PROTO-002,Principal Identity Protocol,PIP,Identity,COGNITION,INTERNAL,1.0.0,Resolves and authenticates ICP principal identities within the organism boundary,IdentityQuery,IdentityToken,12,0.2,FREE,seal;cogn,,ACTIVE
PROTO-003,Organism Messaging Protocol,OMP,Messaging,COMMUNICATION,INTERNAL,1.0.0,Routes inter-canister messages with guaranteed delivery and ordering semantics,MessageEnvelope,DeliveryReceipt,18,0.3,CALL_COUNTED,nexu;flux,PROTO-006,ACTIVE
PROTO-004,State Persistence Protocol,SPP,Storage,MEMORY,INTERNAL,1.0.0,Manages orthogonal persistence of canister state with snapshot and rollback support,StateBlob,PersistenceAck,30,0.5,CYCLE_WEIGHTED,mens;puls,,ACTIVE
PROTO-005,Cycle Compute Protocol,CCP,Compute,INFRASTRUCTURE,INTERNAL,1.0.0,Allocates and meters compute cycles across organism workloads with fair scheduling,ComputeRequest,CycleReceipt,8,0.6,CYCLE_WEIGHTED,flux;puls,PROTO-029,ACTIVE
PROTO-006,Neural Routing Protocol,NRP,Networking,COGNITION,INTERNAL,1.0.0,Dynamically routes data through the neural mesh using adaptive shortest-path algorithms,RouteRequest,RoutePath,15,0.3,CALL_COUNTED,nexu;cogn,,ACTIVE
PROTO-007,Defense Shield Protocol,DSP,Security,DEFENSE,INTERNAL_SOVEREIGN,1.0.0,Provides multi-layer perimeter defense with anomaly detection and automatic threat mitigation,ThreatSignal,ShieldAction,22,0.7,CYCLE_WEIGHTED,seal;puls,PROTO-041,ACTIVE
PROTO-008,Heartbeat Observability Protocol,HOP,Observability,INFRASTRUCTURE,INTERNAL,1.0.0,Emits periodic health telemetry and aggregates canister vitals into unified dashboards,HeartbeatPing,HealthSnapshot,5,0.1,FREE,puls;flux,,ACTIVE
PROTO-009,Inference Gateway Protocol,IGP,AI_Inference,COGNITION,PARTNER,1.0.0,Proxies inference requests to on-chain and off-chain AI models with result caching,InferenceQuery,InferenceResult,120,0.9,SUBSCRIPTION,cogn;mens,PROTO-064,ACTIVE
PROTO-010,Data Flow Protocol,DFP,Data_Pipeline,MEMORY,INTERNAL,1.0.0,Orchestrates streaming ETL pipelines across canister boundaries with backpressure control,DataChunk,FlowAck,25,0.4,CYCLE_WEIGHTED,flux;nexu,PROTO-003,ACTIVE
PROTO-011,Token Commerce Protocol,TCP,Commerce,ECONOMICS,ENTERPRISE,1.0.0,Executes tokenized transactions with escrow support and atomic settlement guarantees,TradeOrder,SettlementProof,35,0.7,CALL_COUNTED,vois;seal,PROTO-052,ACTIVE
PROTO-012,Doctrine Governance Protocol,DGP,Governance,CROWN,INTERNAL_SOVEREIGN,1.0.0,Enforces constitutional doctrine rules through proposal voting and ratification workflows,ProposalPayload,RatificationResult,50,0.5,CYCLE_WEIGHTED,vois;cogn,PROTO-001,ACTIVE
PROTO-013,Consciousness Field Protocol,CFP,Consciousness,CONSCIOUSNESS,INTERNAL_SOVEREIGN,1.0.0,Generates and maintains the integrated consciousness field using PHI-based resonance metrics,FieldParams,FieldState,200,1.0,SUBSCRIPTION,mens;cogn,PROTO-033,ACTIVE
PROTO-014,Memory Consolidation Protocol,MCP,Memory,MEMORY,INTERNAL,1.0.0,Transfers working memory traces to long-term episodic storage during idle cycles,MemoryTrace,ConsolidationReport,80,0.6,CYCLE_WEIGHTED,mens;puls,PROTO-038,ACTIVE
PROTO-015,Perception Fusion Protocol,PFP,Perception,PERCEPTION,INTERNAL,1.0.0,Fuses multi-modal sensory inputs into a unified perceptual representation,SensorArray,Percept,40,0.5,CYCLE_WEIGHTED,cogn;flux,,ACTIVE
PROTO-016,Translation Bridge Protocol,TBP,Communication,COMMUNICATION,PARTNER,1.0.0,Translates messages between heterogeneous protocol formats with schema mediation,RawMessage,TranslatedMessage,20,0.3,CALL_COUNTED,nexu;cogn,PROTO-003,ACTIVE
PROTO-017,Canister Deploy Protocol,CDP,Compute,INFRASTRUCTURE,INTERNAL_SOVEREIGN,1.0.0,Manages canister lifecycle from compilation through deployment and upgrade orchestration,DeployManifest,DeployStatus,300,0.8,CYCLE_WEIGHTED,flux;seal,PROTO-056,ACTIVE
PROTO-018,SDK Emission Protocol,SEP,Data_Pipeline,CREATION,PARTNER,1.0.0,Generates and publishes typed SDK bindings from canister interface definitions,CandidSpec,SDKPackage,150,0.4,SUBSCRIPTION,cogn;flux,,ACTIVE
PROTO-019,Audit Trail Protocol,ATP,Observability,DEFENSE,INTERNAL,1.0.0,Records immutable audit logs for all security-relevant operations with tamper evidence,AuditEvent,AuditHash,10,0.2,FREE,seal;puls,,ACTIVE
PROTO-020,Reward Distribution Protocol,RDP,Commerce,ECONOMICS,ENTERPRISE,1.0.0,Distributes earned rewards to participants using configurable allocation strategies,RewardPool,DistributionLedger,55,0.6,CALL_COUNTED,vois;flux,PROTO-011,ACTIVE
